city,year,count
"Los Angeles, California",2014,408
"Los Angeles, California",2015,478
"Los Angeles, California",2016,533
"Los Angeles, California",2017,512
"Los Angeles, California",2018,484
"Los Angeles, California",2019,482
"Los Angeles, California",2020,567
"Los Angeles, California",2021,516
"Los Angeles, California",2022,549
"Los Angeles, California",2023,537
"Los Angeles, California",2024,561
"Portland, Oregon",2015,195
"Portland, Oregon",2016,244
"Portland, Oregon",2017,313
"Portland, Oregon",2018,277
"Portland, Oregon",2019,258
"Portland, Oregon",2020,505
"Portland, Oregon",2021,472
"Portland, Oregon",2022,359
"Portland, Oregon",2023,312
"Portland, Oregon",2024,300
